parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
indpb,0.1,37,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36883
indpb,0.1,38,0.0591399168,0.0685000000,0.0337837838,0.0096153846,37551
indpb,0.1,39,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38163
indpb,0.1,40,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38799
indpb,0.1,41,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39270
indpb,0.1,42,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39729
indpb,0.1,43,0.0591399168,0.0685000000,0.0337837838,0.0096153846,40031
indpb,0.1,44,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40329
indpb,0.1,45,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40669
indpb,0.1,46,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40985
indpb,0.1,47,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41279
indpb,0.1,48,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41581
indpb,0.1,49,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41925
indpb,0.1,50,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42251
indpb,0.1,51,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42547
indpb,0.1,52,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42855
indpb,0.1,53,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43157
indpb,0.1,54,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43473
indpb,0.1,55,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43797
indpb,0.1,56,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44117
indpb,0.1,57,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44279
indpb,0.1,58,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44425
indpb,0.1,59,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44595
indpb,0.1,60,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44728
indpb,0.1,61,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44881
indpb,0.1,62,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45032
indpb,0.1,63,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45188
indpb,0.1,64,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45339
indpb,0.1,65,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45486
indpb,0.1,66,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45639
indpb,0.1,67,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45792
indpb,0.1,68,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45939
indpb,0.1,69,0.0588020790,0.0685000000,0.0304054054,0.0096153846,46088
indpb,0.2,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
