depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1798.6100,1,0.059218,0.000000,0.179550,0.494335,0.266897,0.080777,0.733560,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1798.8100,1,0.062974,0.000000,0.187438,0.485053,0.264534,0.085625,0.721278,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1799.0100,1,0.076342,0.000757,0.186749,0.474419,0.261734,0.104432,0.717547,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1799.2100,1,0.053626,0.012581,0.171345,0.494868,0.267580,0.090395,0.742807,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1799.4100,1,0.047367,0.020208,0.157227,0.507976,0.267222,0.092217,0.763640,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1799.6100,1,0.050148,0.021169,0.155121,0.515142,0.258420,0.096169,0.768567,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1799.8100,1,0.035295,0.020120,0.157224,0.529901,0.257460,0.074629,0.771186,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1800.0100,1,0.005259,0.020640,0.165184,0.526038,0.282880,0.036114,0.761026,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1800.2100,1,0.000501,0.021738,0.166068,0.517851,0.293842,0.031493,0.757181,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1800.4100,1,0.011768,0.023072,0.165879,0.517920,0.281361,0.048480,0.757415,высокопористый,sand_subarkose_arenite,высокопористый субаркозовый аренит
1800.6100,1,0.019040,0.023906,0.169910,0.509560,0.277583,0.059448,0.749937,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1800.8100,1,0.018213,0.022730,0.175268,0.502626,0.281163,0.056957,0.741453,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1801.0100,1,0.000599,0.025385,0.179289,0.493618,0.301110,0.037179,0.733561,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1801.2100,2,0.038702,0.225881,0.153050,0.287276,0.295091,0.375344,0.652417,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1801.4100,2,0.163654,0.187904,0.115022,0.243602,0.289818,0.495025,0.679269,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1801.6100,2,0.249303,0.144108,0.075581,0.215312,0.315697,0.574907,0.740176,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1801.8100,2,0.265396,0.145309,0.038717,0.233305,0.317273,0.601567,0.857671,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1802.0100,2,0.218040,0.210905,0.023355,0.252731,0.294970,0.608405,0.915407,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1802.2100,2,0.199250,0.283716,0.041977,0.237480,0.237576,0.633462,0.849791,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1802.4100,2,0.211273,0.313667,0.077223,0.212444,0.185394,0.644409,0.733408,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1802.6100,2,0.108590,0.341366,0.115973,0.214616,0.219455,0.576464,0.649191,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1802.8100,2,0.006874,0.341721,0.139197,0.243724,0.268485,0.476537,0.636487,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
