parameter,value,generation,best_negative_share
population_size,280.0,148,0.0383972038
population_size,280.0,149,0.0383972038
population_size,280.0,150,0.0383972038
population_size,280.0,151,0.0383972038
population_size,280.0,152,0.0383972038
population_size,280.0,153,0.0383972038
population_size,280.0,154,0.0383972038
population_size,280.0,155,0.0383972038
population_size,280.0,156,0.0383972038
population_size,280.0,157,0.0383972038
population_size,280.0,158,0.0383972038
population_size,280.0,159,0.0383972038
population_size,280.0,160,0.0383972038
population_size,280.0,161,0.0383972038
population_size,280.0,162,0.0383972038
population_size,280.0,163,0.0383972038
population_size,280.0,164,0.0383972038
population_size,280.0,165,0.0383972038
population_size,280.0,166,0.0383972038
population_size,280.0,167,0.0383972038
population_size,280.0,168,0.0383972038
population_size,280.0,169,0.0383972038
population_size,280.0,170,0.0383972038
population_size,280.0,171,0.0383972038
population_size,280.0,172,0.0383972038
population_size,280.0,173,0.0383972038
population_size,280.0,174,0.0383972038
population_size,280.0,175,0.0383972038
population_size,280.0,176,0.0383972038
population_size,280.0,177,0.0383972038
population_size,280.0,178,0.0383972038
population_size,280.0,179,0.0383972038
population_size,280.0,180,0.0383972038
population_size,280.0,181,0.0383972038
population_size,280.0,182,0.0383972038
population_size,280.0,183,0.0383972038
population_size,280.0,184,0.0383972038
population_size,280.0,185,0.0383972038
population_size,280.0,186,0.0383972038
population_size,280.0,187,0.0381974785
population_size,280.0,188,0.0381974785
population_size,280.0,189,0.0381974785
population_size,280.0,190,0.0381974785
population_size,280.0,191,0.0381974785
population_size,280.0,192,0.0381974785
population_size,280.0,193,0.0381974785
population_size,280.0,194,0.0381974785
population_size,280.0,195,0.0381974785
population_size,280.0,196,0.0381974785
population_size,280.0,197,0.0381974785
population_size,280.0,198,0.0381974785
population_size,280.0,199,0.0381974785
population_size,280.0,200,0.0381974785
population_size,340.0,0,0.1252278118
population_size,340.0,1,0.1259268506
population_size,340.0,2,0.1123954562
population_size,340.0,3,0.1123954562
population_size,340.0,4,0.0970914992
population_size,340.0,5,0.0970914992
population_size,340.0,6,0.0970914992
population_size,340.0,7,0.0954687305
population_size,340.0,8,0.0854574959
population_size,340.0,9,0.0703532643
population_size,340.0,10,0.0758706778
population_size,340.0,11,0.0689801523
population_size,340.0,12,0.0689801523
population_size,340.0,13,0.0663337910
population_size,340.0,14,0.0643864686
population_size,340.0,15,0.0596180252
population_size,340.0,16,0.0595680939
population_size,340.0,17,0.0595181625
population_size,340.0,18,0.0574210461
population_size,340.0,19,0.0548995132
population_size,340.0,20,0.0534015728
population_size,340.0,21,0.0500062414
population_size,340.0,22,0.0480838847
population_size,340.0,23,0.0480838847
population_size,340.0,24,0.0480838847
population_size,340.0,25,0.0480838847
population_size,340.0,26,0.0453626264
population_size,340.0,27,0.0467357384
population_size,340.0,28,0.0453626264
population_size,340.0,29,0.0453626264
population_size,340.0,30,0.0453626264
population_size,340.0,31,0.0452877294
population_size,340.0,32,0.0452627637
population_size,340.0,33,0.0452627637
population_size,340.0,34,0.0450380727
population_size,340.0,35,0.0442891025
population_size,340.0,36,0.0440644114
population_size,340.0,37,0.0427412308
population_size,340.0,38,0.0420921233
population_size,340.0,39,0.0420921233
population_size,340.0,40,0.0419922606
population_size,340.0,41,0.0418923980
population_size,340.0,42,0.0418923980
population_size,340.0,43,0.0414929472
population_size,340.0,44,0.0409936338
population_size,340.0,45,0.0409187367
population_size,340.0,46,0.0408688054
population_size,340.0,47,0.0408688054
population_size,340.0,48,0.0408688054
population_size,340.0,49,0.0408438397
population_size,340.0,50,0.0408438397
population_size,340.0,51,0.0406690800
population_size,340.0,52,0.0406690800
population_size,340.0,53,0.0406690800
population_size,340.0,54,0.0406441143
population_size,340.0,55,0.0406441143
population_size,340.0,56,0.0406441143
population_size,340.0,57,0.0401448009
population_size,340.0,58,0.0401448009
population_size,340.0,59,0.0401448009
population_size,340.0,60,0.0401448009
population_size,340.0,61,0.0401448009
population_size,340.0,62,0.0401448009
population_size,340.0,63,0.0401448009
population_size,340.0,64,0.0401448009
population_size,340.0,65,0.0401448009
population_size,340.0,66,0.0401448009
population_size,340.0,67,0.0401448009
population_size,340.0,68,0.0401198352
population_size,340.0,69,0.0401198352
population_size,340.0,70,0.0401198352
population_size,340.0,71,0.0401198352
population_size,340.0,72,0.0400199725
population_size,340.0,73,0.0399950069
population_size,340.0,74,0.0400199725
population_size,340.0,75,0.0399950069
population_size,340.0,76,0.0399950069
population_size,340.0,77,0.0399950069
population_size,340.0,78,0.0399950069
population_size,340.0,79,0.0399950069
population_size,340.0,80,0.0399950069
population_size,340.0,81,0.0399950069
population_size,340.0,82,0.0399950069
population_size,340.0,83,0.0399950069
population_size,340.0,84,0.0399950069
population_size,340.0,85,0.0399950069
population_size,340.0,86,0.0399950069
population_size,340.0,87,0.0399950069
