parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,220.0,55,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43797
population_size,220.0,56,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44117
population_size,220.0,57,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44279
population_size,220.0,58,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44425
population_size,220.0,59,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44595
population_size,220.0,60,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44728
population_size,220.0,61,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44881
population_size,220.0,62,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45032
population_size,220.0,63,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45188
population_size,220.0,64,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45339
population_size,220.0,65,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45486
population_size,220.0,66,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45639
population_size,220.0,67,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45792
population_size,220.0,68,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45939
population_size,220.0,69,0.0588020790,0.0685000000,0.0304054054,0.0096153846,46088
population_size,320.0,0,0.0709804574,0.0795000000,0.0641891892,0.0096153846,2240
population_size,320.0,1,0.0666426195,0.0745000000,0.0608108108,0.0096153846,3806
population_size,320.0,2,0.0663047817,0.0745000000,0.0574324324,0.0096153846,5293
population_size,320.0,3,0.0646426195,0.0720000000,0.0608108108,0.0096153846,6824
population_size,320.0,4,0.0642426195,0.0715000000,0.0608108108,0.0096153846,8416
population_size,320.0,5,0.0635669439,0.0715000000,0.0540540541,0.0096153846,9981
population_size,320.0,6,0.0609534304,0.0695000000,0.0439189189,0.0096153846,11645
population_size,320.0,7,0.0602777547,0.0695000000,0.0371621622,0.0096153846,13229
population_size,320.0,8,0.0595399168,0.0690000000,0.0337837838,0.0096153846,14822
population_size,320.0,9,0.0595399168,0.0690000000,0.0337837838,0.0096153846,16401
population_size,320.0,10,0.0591399168,0.0685000000,0.0337837838,0.0096153846,17950
